#{"t_start": 1727889884.8322332, "env_id": "None"}
r,l,t
96.502409,333,3.320513
75.062258,282,4.448631
86.409878,268,5.583429
64.771845,349,7.618082
55.188612,343,10.117979
15.118825,286,11.903453
20.958405,222,12.986814
91.123106,374,14.808489
236.357558,656,18.795477
108.272513,392,21.124389
36.071068,246,22.47351
-50.393933,131,23.242517
185.165,565,26.410346
119.735662,402,28.568381
134.939378,396,30.261461
188.396229,629,33.035949
255.595146,691,36.307502
-25.318992,189,37.365457
72.942766,281,38.820202
58.811023,320,40.774528
-4.566019,208,41.816345
72.958405,381,43.567025
-53.030982,143,44.108341
149.866751,532,46.985692
16.408495,239,48.255775
93.596876,442,50.481829
56.324555,369,51.943743
-86.169048,41,52.11373
-39.784219,121,52.723228
62.763932,290,53.896139
39.702941,240,54.801639
71.682612,340,56.142572
127.774599,416,57.754041
15.128057,196,58.481434
34.910584,312,59.70371
215.532294,631,62.117781
15.507901,160,62.714457
149.324459,566,64.855484
125.937742,389,66.355219
109.236068,394,68.229276
-22.96008,160,69.156697
-90.492856,54,69.529941
75.414214,334,71.319314
94.425821,326,72.762101
53.845252,202,73.516808
44.386651,275,74.55686
140.414877,470,76.330864
85.615773,369,77.713735
-90.0,21,77.806031
133.0,448,79.488992
-24.234454,151,80.040462
195.544004,550,82.034226
100.346,397,83.51193
13.846695,204,84.256808
217.274223,606,86.50192
49.459188,287,87.554032
50.591449,342,88.766983
28.775059,327,90.05872
-51.100505,110,90.462035
4.0,184,91.154762
94.242641,359,92.455211
183.0,601,94.739617
218.954639,638,97.777637
56.514719,243,98.993631
20.293336,294,100.484398
102.71123,323,101.85957
91.665887,449,103.517762
121.18777,476,105.411373
113.91868,397,107.045285
-43.687675,110,107.476107
256.763932,741,110.590664
-35.86402,188,111.352717
87.016897,382,112.981178
179.506397,609,115.533895
39.302402,294,116.526283
62.385165,299,117.851053
201.937742,606,120.395261
0.443274,170,121.125188
95.708204,424,122.967909
-10.780456,150,123.695906
-47.086179,115,124.181415
2.570443,172,124.966784
82.09902,341,126.455079
12.0,253,127.841445
13.709948,231,129.095511
68.253641,268,130.554574
132.637755,438,132.698773
138.81223,464,134.720477
72.123106,332,136.481908
17.978271,232,137.675308
126.0,443,139.588591
97.612211,292,140.828746
-57.129891,87,141.224231
176.777257,575,143.779137
168.062258,505,146.013885
80.0,316,147.276558
12.324555,276,148.462084
-3.180683,224,149.422723
11.4488,220,150.381151
-15.546505,172,151.097679
82.086142,359,152.63183
-90.041753,41,152.819757
40.0,230,153.797942
-23.351956,156,154.394826
44.048816,289,155.550433
53.136782,288,157.015663
-23.016524,160,157.830145
76.961595,316,159.434414
29.74587,296,160.92319
-54.11516,116,161.372515
8.944272,273,162.442119
200.697598,580,164.701257
137.813808,460,166.498948
54.981823,241,167.445478
51.727487,335,168.698472
88.156913,328,169.931555
-14.456706,181,170.603833
51.979495,346,171.949467
24.662652,216,172.928749
57.630146,293,174.12951
16.78033,282,175.150466
-1.120683,161,175.719435
142.071068,437,177.42806
